"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Mike Trout","Angels","111","485","396","122","24","4","26","79","78","77","100","7","16","6","",".308",".425",".583","1.009",".421","","173","3.0","-0.2","","45.7","0.3","6.4","10155"
"Bryce Harper","Nationals","110","474","381","113","22","1","25","74","74","86","87","3","10","6","",".296",".426",".557",".983",".410","","156","0.7","3.7","","33.7","-1.2","4.9","11579"
"Joey Votto","Reds","113","492","395","115","23","1","19","69","63","88","88","4","5","3","",".292",".423",".499",".922",".393","","144","-1.9","-0.1","","25.0","-8.7","3.3","4314"
"Paul Goldschmidt","Diamondbacks","112","487","398","115","25","1","20","70","67","81","106","4","16","7","",".290",".411",".514",".926",".390","","139","1.1","3.1","","24.5","-5.1","3.6","9218"
"Miguel Cabrera","Tigers","111","485","418","127","24","1","23","70","75","59","91","3","1","1","",".305",".392",".532",".923",".387","","145","-3.2","-1.1","","22.8","-9.2","3.1","1744"
"Giancarlo Stanton","Marlins","98","415","357","96","19","1","28","60","73","52","113","3","2","1","",".270",".365",".559",".924",".385","","142","0.0","0.5","","21.4","-4.2","3.1","4949"
"Anthony Rizzo","Cubs","115","498","418","116","25","2","25","72","76","62","80","13","6","4","",".277",".385",".521",".905",".382","","139","-0.6","4.7","","23.5","-4.3","3.6","3473"
"Freddie Freeman","Braves","117","511","428","121","26","2","23","70","72","72","114","6","6","3","",".281",".390",".512",".902",".379","","137","-0.2","3.0","","23.2","-6.0","3.4","5361"
"David Ortiz","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".286",".374",".529",".903",".377","","133","0.0","0.0","","0.0","0.0","0.0","745"
"Josh Donaldson","Blue Jays","96","423","357","97","20","2","20","63","60","57","83","4","3","1","",".271",".375",".509",".884",".376","","136","0.0","4.9","","18.5","6.5","4.0","5038"
"Mookie Betts","Red Sox","111","494","443","136","30","2","19","73","70","42","52","2","16","6","",".307",".368",".512",".881",".375","","132","2.9","9.4","","21.9","4.3","4.4","13611"
