"﻿""Name""",Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,playerid
Max Scherzer,Nationals,12,7,3.17,25,25,0,163.0,133,58,19,201,40,1.06,11.10,2.22,3.04,4.4,4.1,3137
Carlos Carrasco,Indians,11,7,3.41,25,25,0,155.0,143,59,17,159,40,1.18,9.20,2.33,3.35,3.4,3.4,6632
Jake Arrieta,Cubs,11,8,3.58,25,25,0,157.0,144,62,15,150,52,1.25,8.61,2.99,3.58,2.9,2.9,4153
Charlie Morton,Astros,8,6,3.64,21,21,0,117.0,108,47,11,119,41,1.27,9.16,3.14,3.59,2.2,2.1,4676
Robbie Ray,Diamondbacks,8,7,3.59,22,22,0,125.0,106,50,14,145,52,1.26,10.41,3.72,3.59,2.4,2.6,11486
Justin Verlander,Tigers,11,8,3.67,26,26,0,168.0,148,69,21,176,52,1.19,9.43,2.77,3.68,3.4,3.3,8700
Jeff Samardzija,Giants,9,9,3.74,25,25,0,160.0,155,67,17,141,42,1.23,7.92,2.37,3.68,2.4,2.2,3254
Julio Urias,Dodgers,6,5,3.47,16,16,0,84.0,73,32,9,90,35,1.28,9.63,3.77,3.74,1.4,1.4,14765
Ivan Nova,Pirates,7,7,3.98,21,21,0,124.0,133,55,13,94,27,1.29,6.87,1.95,3.75,1.9,1.4,1994
Adam Wainwright,Cardinals,8,8,3.90,22,22,0,134.0,137,58,14,111,37,1.30,7.44,2.51,3.80,2.2,1.9,2233
Zack Wheeler,Mets,7,7,3.83,20,32,0,123.0,115,52,13,123,49,1.33,8.98,3.56,3.81,1.9,1.5,10310
Mike Bolsinger,Dodgers,0,0,3.82,0,0,0,1.0,1,0,0,1,0,1.31,8.83,3.39,3.85,0.0,0.0,11137
Drew Pomeranz,Red Sox,8,6,3.88,21,21,0,117.0,106,51,14,124,46,1.29,9.52,3.51,3.87,1.9,2.1,11426
Alex Meyer,Angels,3,3,3.74,9,9,0,48.0,41,20,5,50,22,1.32,9.42,4.20,3.96,0.7,0.7,12833
Matt Andriese,Rays,6,6,3.94,17,17,0,93.0,91,41,12,80,27,1.26,7.76,2.57,3.97,1.4,1.3,12022
John Lackey,Cubs,9,8,4.11,24,24,0,144.0,142,66,19,131,41,1.27,8.15,2.57,4.00,2.0,1.7,1507
Wandy Peralta,Reds,2,2,3.67,0,36,0,36.0,33,15,4,35,16,1.35,8.79,4.02,4.03,0.2,0.3,14295
Bartolo Colon,Braves,7,9,4.20,23,23,0,134.0,145,62,18,96,26,1.28,6.46,1.73,4.08,1.7,1.5,375
Jharel Cotton,Athletics,7,8,4.18,22,22,0,128.0,122,60,17,120,48,1.32,8.43,3.33,4.19,1.8,1.4,13654
Dan Straily,Marlins,7,8,4.37,22,22,0,131.0,124,63,18,120,51,1.34,8.26,3.51,4.39,1.1,1.2,9460
Jerad Eickhoff,Phillies,7,8,4.34,21,21,0,124.0,122,60,20,111,37,1.28,8.02,2.70,4.42,1.5,1.2,12664
Wily Peralta,Brewers,7,9,4.67,22,22,0,126.0,137,65,17,101,46,1.45,7.25,3.29,4.45,1.3,0.9,7738
CC Sabathia,Yankees,5,6,4.43,16,16,0,91.0,94,45,13,76,33,1.39,7.46,3.21,4.51,1.1,0.8,404
Kyle Freeland,Rockies,6,7,4.70,18,18,0,104.0,116,54,13,72,38,1.49,6.21,3.31,4.61,1.2,1.4,16256
Ariel Miranda,Mariners,6,6,4.38,18,18,0,102.0,100,50,16,85,36,1.32,7.50,3.12,4.66,0.9,0.9,17526
Ubaldo Jimenez,Orioles,5,6,4.83,14,22,0,87.0,88,47,12,74,42,1.50,7.63,4.30,4.79,0.6,0.5,3374
Tim Adleman,Reds,4,6,4.70,14,14,0,82.0,87,43,14,63,26,1.37,6.91,2.88,4.82,0.5,0.5,10968
Antonio Senzatela,Rockies,5,7,5.08,16,28,0,103.0,116,58,16,76,34,1.45,6.64,2.95,4.84,0.8,0.9,15488
Mike Pelfrey,,1,2,4.95,4,4,0,22.0,25,12,3,12,8,1.51,4.94,3.22,4.87,0.2,0.1,5203
Chris Young,Royals,3,4,4.85,5,50,0,73.0,72,39,12,62,28,1.38,7.61,3.52,4.89,0.0,0.1,3196
A.J. Griffin,Rangers,6,8,5.01,21,21,0,115.0,117,64,22,101,40,1.37,7.90,3.16,5.04,0.8,0.7,11132
Hector Santiago,Twins,8,10,5.07,25,25,0,145.0,150,82,25,117,62,1.46,7.26,3.83,5.14,0.8,0.6,4026
Jered Weaver,Padres,5,9,5.13,19,19,0,113.0,125,65,20,75,33,1.40,5.95,2.63,5.15,0.4,-0.2,4235
Jamaine Cotton,,0,0,5.79,0,1,0,1.0,1,1,0,1,1,1.71,5.72,5.33,5.87,0.0,0.0,sa502349
Aaron Griffin,,0,0,5.94,0,1,0,1.0,1,1,0,1,1,1.79,5.16,6.14,6.22,0.0,0.0,sa737913
