"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Andrew Miller","Indians","4","2","2.24","0","58","16","58.0","39","14","4","86","17","0.96","13.42","2.57","2.09","1.5","1.5","6785"
"Dellin Betances","Yankees","3","2","2.48","0","58","2","58.0","38","16","4","88","23","1.06","13.65","3.62","2.36","1.4","1.3","6216"
"Aroldis Chapman","Yankees","4","2","2.33","0","58","31","58.0","35","15","5","93","24","1.02","14.42","3.73","2.37","1.4","1.4","10233"
"Clayton Kershaw","Dodgers","15","7","2.39","28","28","0","190.0","151","50","16","227","32","0.97","10.78","1.54","2.40","6.6","6.2","2036"
"Kenley Jansen","Dodgers","3","2","2.63","0","57","34","57.0","40","17","6","80","14","0.95","12.64","2.27","2.46","1.3","1.1","3096"
"Zach Britton","Orioles","3","2","2.54","0","58","28","58.0","49","16","3","66","19","1.18","10.21","3.01","2.68","1.2","1.2","3240"
"Noah Syndergaard","Mets","12","9","2.98","28","28","0","176.0","147","58","15","211","42","1.07","10.75","2.14","2.68","5.3","4.2","11762"
"Craig Kimbrel","Red Sox","3","2","2.79","0","57","31","57.0","40","18","5","83","24","1.11","13.01","3.77","2.70","1.1","1.2","6655"
"Mark Melancon","Giants","3","2","2.84","0","57","33","57.0","51","18","4","57","14","1.14","8.97","2.23","2.85","0.8","0.9","4264"
"Trevor Rosenthal","Cardinals","3","2","2.85","0","57","1","57.0","43","18","4","76","25","1.19","11.91","3.92","2.88","0.9","0.9","10745"
"Stephen Strasburg","Nationals","11","7","3.19","24","24","0","149.0","128","53","15","177","40","1.12","10.67","2.40","2.99","3.9","3.6","10131"
"Ken Giles","Astros","3","2","3.02","0","57","24","57.0","43","19","5","76","22","1.14","11.86","3.44","2.99","0.9","0.9","12910"
"Wade Davis","Cubs","3","2","2.90","0","57","32","57.0","45","18","5","69","20","1.14","10.85","3.16","2.99","0.9","1.0","7441"
"Edwin Diaz","Mariners","3","2","2.93","0","57","30","57.0","44","19","5","70","18","1.10","11.05","2.90","3.01","0.9","1.0","14710"
"Max Scherzer","Nationals","13","7","3.16","27","27","0","179.0","147","63","21","221","44","1.06","11.06","2.20","3.02","4.9","4.5","3137"
"Brett Cecil","Cardinals","2","2","3.02","0","40","0","40.0","33","13","3","46","14","1.19","10.38","3.14","3.06","0.6","0.6","2660"
"Cody Allen","Indians","3","2","3.09","0","58","17","58.0","44","20","6","75","22","1.15","11.64","3.46","3.09","0.9","0.9","12183"
"James Hoyt","Astros","1","1","3.11","0","22","0","22.0","17","8","2","28","9","1.18","11.40","3.48","3.09","0.3","0.4","14605"
"Jeurys Familia","Mets","3","3","3.07","0","57","33","57.0","49","20","4","65","23","1.25","10.14","3.60","3.09","0.8","0.7","5114"
"Pedro Strop","Cubs","3","2","2.94","0","49","0","49.0","38","16","4","59","20","1.21","10.92","3.79","3.10","0.7","0.7","4070"
